County,FIPS code,CBSA,State Abbreviation,FEMA region,Population,Cases as a percent of national total - last 7 days,ThisWeekTotal Per100k,LastWeekTotal Per100k,Test Positivity Rate- Last 7 Days,Previous Week Positivity Rate,,,,,,
"Kiowa County, OK",,,,," 8,708 ",0.0%, 701 , 563 ,16.3%,21.4%,,,,,,
"Kit Carson County, CO",,,,," 7,097 ",0.0%, 705 , 380 ,6.2%,27.5%,,,,,,
"Kittitas County, WA",,,,," 47,935 ",0.0%, 242 , 177 ,9.1%,21.5%,,,,,,
"Kittson County, MN",,,,," 4,298 ",0.0%," 1,000 ", 745 ,13.3%,8.3%,,,,,,
"Kleberg County, TX",,,,," 30,680 ",0.0%, 75 , 147 ,8.9%,15.3%,,,,,,
"Klickitat County, WA",,,,," 22,425 ",0.0%, 107 , 54 ,11.7%,6.5%,,,,,,
"Knott County, KY",,,,," 14,806 ",0.0%, 317 , 277 ,23.1%,13.1%,,,,,,
"Knox County, IL",,,,," 49,699 ",0.0%, 590 , 716 ,14.5%,14.9%,,,,,,
"Knox County, IN",,,,," 36,594 ",0.0%, 836 , 812 ,17.3%,22.2%,,,,,,
"Knox County, KY",,,,," 31,145 ",0.0%, 180 , 215 ,9.7%,12.8%,,,,,,
"Knox County, MO",,,,," 3,959 ",0.0%, 227 , 707 ,26.1%,33.3%,,,,,,
"Knox County, NE",,,,," 8,332 ",0.0%, 492 , 420 ,26.7%,28.1%,,,,,,
"Knox County, OH",,,,," 62,322 ",0.0%, 459 , 416 ,21.7%,21.8%,,,,,,
"Knox County, TN",,,,," 470,313 ",0.1%, 324 , 346 ,17.5%,14.7%,,,,,,
"Knox County, TX",,,,," 3,664 ",0.0%, 82 , 55 ,40.0%,50.0%,,,,,,
"Kodiak Island Borough, AK",,,,," 12,998 ",0.0%, 469 , 277 ,5.4%,2.7%,,,,,,
"Koochiching County, MN",,,,," 12,229 ",0.0%, 572 , 523 ,15.4%,14.5%,,,,,,
"Kootenai County, ID",,,,," 165,697 ",0.1%, 451 , 451 ,30.1%,30.2%,,,,,,
"Kosciusko County, IN",,,,," 79,456 ",0.1%, 662 , 857 ,15.2%,22.6%,,,,,,
"Kossuth County, IA",,,,," 14,813 ",0.0%, 945 , 952 ,24.4%,26.0%,,,,,,
"Kusilvak Census Area, AK",,,,," 8,314 ",0.0%, 565 , 241 ,15.7%,11.0%,,,,,,
"La Crosse County, WI",,,,," 118,016 ",0.1%, 530 , 912 ,16.8%,18.3%,,,,,,
"La Paz County, AZ",,,,," 21,108 ",0.0%, 398 , 199 ,2.5%,2.7%,,,,,,
"La Plata County, CO",,,,," 56,221 ",0.1%, 909 , 285 ,9.6%,6.7%,,,,,,
"Labette County, KS",,,,," 19,618 ",0.0%, 576 , 902 ,29.8%,22.2%,,,,,,
"Lac qui Parle County, MN",,,,," 6,623 ",0.0%, 876 ," 1,057 ",7.4%,22.0%,,,,,,
"Laclede County, MO",,,,," 35,723 ",0.0%, 322 , 350 ,19.8%,20.2%,,,,,,
"Lafayette County, AR",,,,," 6,624 ",0.0%, 166 , 151 ,6.1%,10.7%,,,,,,
"Lafayette County, FL",,,,," 8,422 ",0.0%, 237 , 83 ,10.2%,1.7%,,,,,,
"Lafayette County, MO",,,,," 32,708 ",0.0%, 440 , 422 ,15.1%,22.6%,,,,,,
"Lafayette County, WI",,,,," 16,665 ",0.0%, 438 ," 1,068 ",10.2%,21.2%,,,,,,
"Lafayette Parish, LA",,,,," 244,390 ",0.1%, 364 , 399 ,10.7%,10.2%,,,,,,
"Lafourche Parish, LA",,,,," 97,614 ",0.0%, 222 , 383 ,8.0%,6.4%,,,,,,
"LaGrange County, IN",,,,," 39,614 ",0.0%, 391 , 459 ,20.7%,24.1%,,,,,,
"Lajas, PR",,,,," 25,753 ",0.0%, 39 , 31 ,16.7%,0.0%,,,,,,
"Lake and Peninsula Borough, AK",,,,," 1,592 ",0.0%, 251 , 942 ,,,,,,,,
"Lake County, CO",,,,," 8,127 ",0.0%, 517 , 443 ,17.6%,14.1%,,,,,,
"Lake County, IL",,,,," 696,535 ",0.3%, 431 , 595 ,12.3%,16.4%,,,,,,
"Lake County, IN",,,,," 485,493 ",0.3%, 611 , 752 ,16.1%,17.5%,,,,,,
"Lake County, MI",,,,," 11,853 ",0.0%, 219 , 380 ,16.2%,16.3%,,,,,,
"Lake County, MN",,,,," 10,641 ",0.0%, 752 , 695 ,10.6%,13.3%,,,,,,
"Lake County, MT",,,,," 30,458 ",0.0%, 469 , 345 ,15.8%,26.6%,,,,,,
"Lake County, OH",,,,," 230,149 ",0.2%, 825 , 726 ,19.1%,20.3%,,,,,,
"Lake County, OR",,,,," 7,869 ",0.0%, 407 , 292 ,10.7%,3.1%,,,,,,
"Lake County, SD",,,,," 12,797 ",0.0%, 727 ," 1,016 ",36.4%,28.9%,,,,,,
"Lake County, TN",,,,," 7,016 ",0.0%, 556 , 599 ,11.5%,5.5%,,,,,,
"Lake of the Woods County, MN",,,,," 3,740 ",0.0%, 455 , 374 ,7.7%,11.3%,,,,,,
"Lamar County, AL",,,,," 13,805 ",0.0%, 348 , 123 ,37.9%,22.7%,,,,,,
"Lamar County, GA",,,,," 19,077 ",0.0%, 194 , 131 ,18.1%,9.2%,,,,,,
"Lamar County, MS",,,,," 63,343 ",0.0%, 305 , 147 ,9.3%,11.2%,,,,,,
"Lamar County, TX",,,,," 49,859 ",0.0%, 548 , 411 ,11.2%,14.3%,,,,,,
"Lamb County, TX",,,,," 12,893 ",0.0%, 566 , 993 ,33.5%,35.6%,,,,,,
"Lamoille County, VT",,,,," 25,362 ",0.0%, 75 , 142 ,3.1%,12.5%,,,,,,
"LaMoure County, ND",,,,," 4,046 ",0.0%, 914 ," 1,162 ",13.1%,22.8%,,,,,,
"Lampasas County, TX",,,,," 21,428 ",0.0%, 145 , 56 ,11.6%,10.3%,,,,,,
"Lancaster County, NE",,,,," 319,090 ",0.2%, 570 , 555 ,12.2%,15.9%,,,,,,
"Lancaster County, PA",,,,," 545,724 ",0.2%, 437 , 290 ,14.7%,13.5%,,,,,,
"Lancaster County, SC",,,,," 98,012 ",0.0%, 201 , 258 ,12.3%,20.2%,,,,,,
"Lander County, NV",,,,," 5,532 ",0.0%, 777 , 416 ,17.7%,19.2%,,,,,,
"Lane County, KS",,,,," 1,535 ",0.0%, 586 , 586 ,0.0%,45.5%,,,,,,
"Langlade County, WI",,,,," 19,189 ",0.0%, 412 , 761 ,16.1%,22.6%,,,,,,
"Lanier County, GA",,,,," 10,423 ",0.0%, 48 , 38 ,10.3%,3.7%,,,,,,
"Lapeer County, MI",,,,," 87,607 ",0.0%, 573 , 444 ,12.1%,13.1%,,,,,,
"LaPorte County, IN",,,,," 109,888 ",0.1%, 511 , 610 ,15.8%,15.1%,,,,,,
"Laramie County, WY",,,,," 99,500 ",0.1%, 727 , 876 ,18.3%,19.2%,,,,,,
"Larimer County, CO",,,,," 356,899 ",0.1%, 419 , 472 ,12.4%,14.2%,,,,,,
"Larue County, KY",,,,," 14,398 ",0.0%, 389 , 424 ,16.7%,15.1%,,,,,,
"Las Animas County, CO",,,,," 14,506 ",0.0%, 517 , 186 ,4.1%,4.8%,,,,,,
"LaSalle County, IL",,,,," 108,669 ",0.1%, 544 , 932 ,11.5%,17.6%,,,,,,
"LaSalle Parish, LA",,,,," 14,892 ",0.0%, 423 ," 1,652 ",9.1%,9.2%,,,,,,
"Lassen County, CA",,,,," 30,573 ",0.0%, 958 ," 1,040 ",,,,,,,,
"Latah County, ID",,,,," 40,108 ",0.0%, 279 , 688 ,32.6%,47.4%,,,,,,
"Latimer County, OK",,,,," 10,073 ",0.0%, 129 , 189 ,11.1%,19.3%,,,,,,
"Lauderdale County, AL",,,,," 92,729 ",0.0%, 267 , 340 ,14.7%,11.5%,,,,,,
"Lauderdale County, MS",,,,," 74,125 ",0.0%, 248 , 305 ,12.2%,9.9%,,,,,,
"Lauderdale County, TN",,,,," 25,633 ",0.0%, 324 ," 1,018 ",16.8%,25.5%,,,,,,
"Laurel County, KY",,,,," 60,813 ",0.0%, 286 , 421 ,8.3%,13.5%,,,,,,
"Laurens County, SC",,,,," 67,493 ",0.0%, 190 , 204 ,11.1%,14.3%,,,,,,
"Lavaca County, TX",,,,," 20,154 ",0.0%, 198 , 422 ,27.0%,20.6%,,,,,,
"Lawrence County, AL",,,,," 32,924 ",0.0%, 158 , 197 ,15.8%,14.7%,,,,,,
"Lawrence County, AR",,,,," 16,406 ",0.0%, 494 , 396 ,11.7%,8.2%,,,,,,
"Lawrence County, IL",,,,," 15,678 ",0.0%," 1,410 ", 861 ,21.2%,21.7%,,,,,,
"Lawrence County, IN",,,,," 45,370 ",0.0%, 414 , 498 ,18.1%,18.2%,,,,,,
"Lawrence County, KY",,,,," 15,317 ",0.0%, 307 , 431 ,12.0%,17.7%,,,,,,
"Lawrence County, MO",,,,," 38,355 ",0.0%, 292 , 574 ,23.0%,28.6%,,,,,,
"Lawrence County, MS",,,,," 12,586 ",0.0%, 167 , 509 ,11.1%,13.6%,,,,,,
"Lawrence County, OH",,,,," 59,463 ",0.0%, 444 , 449 ,7.6%,10.4%,,,,,,
"Lawrence County, PA",,,,," 85,512 ",0.0%, 392 , 348 ,15.1%,12.7%,,,,,,
"Lawrence County, SD",,,,," 25,844 ",0.0%, 727 ," 1,049 ",16.6%,20.6%,,,,,,
"Lawrence County, TN",,,,," 44,142 ",0.0%, 550 , 591 ,13.9%,10.5%,,,,,,
"Le Flore County, OK",,,,," 49,853 ",0.0%, 315 , 375 ,19.6%,18.9%,,,,,,
"Le Sueur County, MN",,,,," 28,887 ",0.0%, 692 , 807 ,14.8%,12.6%,,,,,,
"Lea County, NM",,,,," 71,070 ",0.1%, 841 , 640 ,20.7%,22.6%,,,,,,
"Leake County, MS",,,,," 22,786 ",0.0%, 162 , 189 ,15.2%,11.9%,,,,,,
"Leavenworth County, KS",,,,," 81,758 ",0.0%, 393 , 351 ,15.3%,20.6%,,,,,,
"Lebanon County, PA",,,,," 141,793 ",0.1%, 483 , 357 ,14.0%,13.7%,,,,,,
"Lee County, IA",,,,," 33,657 ",0.0%, 541 , 832 ,16.9%,24.7%,,,,,,
"Lee County, IL",,,,," 34,096 ",0.0%," 1,009 ", 760 ,14.1%,16.4%,,,,,,
"Lee County, KY",,,,," 7,403 ",0.0%," 1,040 "," 3,809 ",7.3%,67.5%,,,,,,
"Lee County, MS",,,,," 85,436 ",0.0%, 411 , 508 ,17.2%,13.4%,,,,,,
"Lee County, TX",,,,," 17,239 ",0.0%, 104 , 23 ,10.8%,22.2%,,,,,,
"Lee County, VA",,,,," 23,423 ",0.0%, 551 , 342 ,13.6%,21.7%,,,,,,
"Leflore County, MS",,,,," 28,183 ",0.0%, 241 , 323 ,18.5%,21.2%,,,,,,
"Lehigh County, PA",,,,," 369,318 ",0.1%, 429 , 272 ,13.5%,11.2%,,,,,,
"Lemhi County, ID",,,,," 8,027 ",0.0%, 162 , 461 ,3.8%,19.3%,,,,,,
"Lenawee County, MI",,,,," 98,451 ",0.0%, 503 , 354 ,14.4%,10.2%,,,,,,
"Leon County, TX",,,,," 17,404 ",0.0%, 109 , 75 ,16.1%,9.8%,,,,,,
"Leslie County, KY",,,,," 9,877 ",0.0%, 648 , 182 ,17.3%,3.5%,,,,,,
"Letcher County, KY",,,,," 21,553 ",0.0%, 251 , 204 ,7.7%,10.3%,,,,,,
"Lewis and Clark County, MT",,,,," 69,432 ",0.0%, 681 , 634 ,20.0%,30.3%,,,,,,
"Lewis County, ID",,,,," 3,838 ",0.0%, 495 , 964 ,23.5%,13.0%,,,,,,
"Lewis County, MO",,,,," 9,776 ",0.0%, 194 , 614 ,26.3%,33.6%,,,,,,
"Lewis County, TN",,,,," 12,268 ",0.0%, 538 , 603 ,13.0%,12.4%,,,,,,
"Lexington City, VA",,,,," 7,446 ",0.0%, 403 , 349 ,4.7%,4.1%,,,,,,
"Liberty County, FL",,,,," 8,354 ",0.0%, 311 , 84 ,12.9%,7.4%,,,,,,
"Liberty County, GA",,,,," 61,435 ",0.0%, 80 , 49 ,8.3%,10.6%,,,,,,
"Liberty County, MT",,,,," 2,337 ",0.0%, 856 , 727 ,2.8%,3.4%,,,,,,
"Liberty County, TX",,,,," 88,219 ",0.0%, 120 , 49 ,16.4%,10.3%,,,,,,
"Licking County, OH",,,,," 176,862 ",0.1%, 611 , 423 ,31.7%,25.7%,,,,,,
"Limestone County, AL",,,,," 98,915 ",0.0%, 181 , 191 ,16.9%,18.1%,,,,,,
"Limestone County, TX",,,,," 23,437 ",0.0%, 94 , 201 ,13.2%,19.3%,,,,,,
"Lincoln County, AR",,,,," 13,024 ",0.0%, 514 , 131 ,6.5%,4.3%,,,,,,
"Lincoln County, CO",,,,," 5,701 ",0.0%, 386 , 877 ,9.6%,14.9%,,,,,,
"Lincoln County, ID",,,,," 5,366 ",0.0%, 335 , 447 ,24.3%,36.0%,,,,,,
"Lincoln County, KS",,,,," 2,962 ",0.0%, 844 , 641 ,20.8%,44.4%,,,,,,
"Lincoln County, KY",,,,," 24,549 ",0.0%, 452 , 330 ,16.6%,10.4%,,,,,,
"Lincoln County, MN",,,,," 5,639 ",0.0%," 1,029 ", 621 ,18.8%,22.1%,,,,,,
"Lincoln County, MO",,,,," 59,013 ",0.0%, 497 , 581 ,23.9%,26.3%,,,,,,
"Lincoln County, MS",,,,," 34,153 ",0.0%, 220 , 556 ,9.9%,10.6%,,,,,,
"Lincoln County, MT",,,,," 19,980 ",0.0%, 335 , 626 ,11.9%,26.2%,,,,,,
"Lincoln County, NC",,,,," 86,111 ",0.0%, 322 , 222 ,11.0%,9.8%,,,,,,
"Lincoln County, NE",,,,," 34,914 ",0.0%, 785 , 868 ,18.7%,27.7%,,,,,,
"Lincoln County, NM",,,,," 19,572 ",0.0%, 649 , 368 ,19.5%,15.9%,,,,,,
"Lincoln County, NV",,,,," 5,183 ",0.0%, 502 ," 2,161 ",50.0%,74.3%,,,,,,
"Lincoln County, OK",,,,," 34,877 ",0.0%, 439 , 453 ,21.0%,16.7%,,,,,,
"Lincoln County, SD",,,,," 61,128 ",0.0%, 707 ," 1,170 ",18.2%,17.5%,,,,,,
"Lincoln County, TN",,,,," 34,366 ",0.0%, 559 , 436 ,27.3%,20.9%,,,,,,
"Lincoln County, WI",,,,," 27,593 ",0.0%, 678 ," 1,018 ",13.8%,19.7%,,,,,,
"Lincoln County, WY",,,,," 19,830 ",0.0%, 303 , 484 ,26.7%,22.2%,,,,,,
"Lincoln Parish, LA",,,,," 46,742 ",0.0%, 392 , 939 ,12.9%,9.6%,,,,,,
"Linn County, IA",,,,," 226,706 ",0.1%, 505 , 976 ,15.1%,23.3%,,,,,,
"Linn County, KS",,,,," 9,703 ",0.0%, 484 , 587 ,13.2%,20.0%,,,,,,
"Linn County, MO",,,,," 11,920 ",0.0%, 310 , 378 ,7.1%,33.3%,,,,,,
"Lipscomb County, TX",,,,," 3,233 ",0.0%, 402 ," 1,237 ",16.7%,0.0%,,,,,,
"Little River County, AR",,,,," 12,259 ",0.0%, 286 , 432 ,4.0%,3.1%,,,,,,
"Live Oak County, TX",,,,," 12,207 ",0.0%, 98 , 82 ,17.4%,10.4%,,,,,,
"Livingston County, IL",,,,," 35,648 ",0.0%, 718 ," 1,257 ",12.5%,13.8%,,,,,,
"Livingston County, KY",,,,," 9,194 ",0.0%, 500 , 424 ,19.0%,19.2%,,,,,,
"Livingston County, MI",,,,," 191,995 ",0.1%, 511 , 389 ,15.3%,12.3%,,,,,,
"Livingston County, MO",,,,," 15,227 ",0.0%, 309 , 420 ,7.4%,31.0%,,,,,,
"Livingston Parish, LA",,,,," 140,789 ",0.0%, 313 , 612 ,17.4%,18.6%,,,,,,
"Llano County, TX",,,,," 21,795 ",0.0%, 202 , 92 ,11.8%,10.7%,,,,,,
"Logan County, AR",,,,," 21,466 ",0.0%, 559 , 457 ,14.6%,13.3%,,,,,,
"Logan County, CO",,,,," 22,409 ",0.0%," 1,017 "," 1,165 ",18.6%,13.6%,,,,,,
"Logan County, IL",,,,," 28,618 ",0.0%, 985 ," 1,020 ",16.9%,14.0%,,,,,,
"Logan County, KS",,,,," 2,794 ",0.0%, 716 , 859 ,55.6%,28.6%,,,,,,
"Logan County, KY",,,,," 27,102 ",0.0%, 314 , 339 ,10.7%,15.0%,,,,,,
"Logan County, ND",,,,," 1,850 ",0.0%, 216 , 378 ,0.0%,1.6%,,,,,,
"Logan County, NE",,,,, 748 ,0.0%," 2,005 "," 1,203 ",42.9%,25.0%,,,,,,
"Logan County, OH",,,,," 45,672 ",0.0%, 609 , 504 ,27.4%,37.0%,,,,,,
"Logan County, OK",,,,," 48,011 ",0.0%, 492 , 279 ,20.0%,18.8%,,,,,,
"Logan County, WV",,,,," 32,019 ",0.0%, 175 , 265 ,6.5%,11.3%,,,,,,
"Loiza, PR",,,,," 30,060 ",0.0%, 67 , 196 ,0.0%,20.0%,,,,,,
"Long County, GA",,,,," 19,559 ",0.0%, 46 , 31 ,7.3%,11.3%,,,,,,
"Lorain County, OH",,,,," 309,833 ",0.1%, 523 , 371 ,12.7%,11.8%,,,,,,
"Loudon County, TN",,,,," 54,068 ",0.0%, 287 , 313 ,15.8%,12.5%,,,,,,
"Loudoun County, VA",,,,," 413,538 ",0.1%, 185 , 111 ,4.8%,10.6%,,,,,,
"Louisa County, IA",,,,," 11,035 ",0.0%, 652 , 607 ,18.8%,14.6%,,,,,,
"Loup County, NE",,,,, 664 ,0.0%, 452 ," 1,506 ",28.6%,33.3%,,,,,,
"Love County, OK",,,,," 10,253 ",0.0%," 1,053 "," 1,014 ",19.1%,18.0%,,,,,,
"Loving County, TX",,,,, 169 ,0.0%, -   , 592 ,100.0%,0.0%,,,,,,
"Lowndes County, AL",,,,," 9,726 ",0.0%, 103 , 154 ,25.0%,21.9%,,,,,,
"Lowndes County, GA",,,,," 117,406 ",0.0%, 156 , 153 ,10.8%,11.4%,,,,,,
"Lowndes County, MS",,,,," 58,595 ",0.0%, 184 , 201 ,12.0%,6.6%,,,,,,
"Lubbock County, TX",,,,," 310,569 ",0.3%," 1,083 "," 1,037 ",16.8%,23.9%,,,,,,
"Lucas County, IA",,,,," 8,600 ",0.0%, 291 , 221 ,15.7%,12.4%,,,,,,
"Lucas County, OH",,,,," 428,348 ",0.2%, 555 , 402 ,19.7%,19.7%,,,,,,
"Luce County, MI",,,,," 6,229 ",0.0%, 225 , 385 ,15.7%,11.8%,,,,,,
"Lumpkin County, GA",,,,," 33,610 ",0.0%, 143 , 202 ,15.5%,5.2%,,,,,,
"Luna County, NM",,,,," 23,709 ",0.0%, 801 , 666 ,12.5%,12.0%,,,,,,
"Luquillo, PR",,,,," 20,068 ",0.0%, 60 , 40 ,11.0%,8.5%,,,,,,
"Luzerne County, PA",,,,," 317,417 ",0.1%, 403 , 348 ,13.4%,13.0%,,,,,,
"Lycoming County, PA",,,,," 113,299 ",0.0%, 359 , 256 ,14.3%,9.5%,,,,,,
"Lyman County, SD",,,,," 3,781 ",0.0%, 793 ," 1,270 ",50.0%,33.3%,,,,,,
"Lynn County, TX",,,,," 5,951 ",0.0%, 538 , 605 ,31.0%,41.7%,,,,,,
"Lyon County, IA",,,,," 11,755 ",0.0%, 808 ," 1,327 ",32.8%,43.8%,,,,,,
"Lyon County, KS",,,,," 33,195 ",0.0%," 1,109 "," 1,220 ",37.5%,30.6%,,,,,,
"Lyon County, KY",,,,," 8,210 ",0.0%, 231 , 219 ,5.6%,13.3%,,,,,,
"Lyon County, MN",,,,," 25,474 ",0.0%," 1,378 "," 1,284 ",20.9%,25.4%,,,,,,
"Lyon County, NV",,,,," 57,510 ",0.0%, 720 , 70 ,19.5%,19.7%,,,,,,
"Macomb County, MI",,,,," 873,972 ",0.4%, 544 , 534 ,17.2%,17.7%,,,,,,
"Macon County, AL",,,,," 18,068 ",0.0%, 188 , 133 ,20.1%,13.0%,,,,,,
"Macon County, GA",,,,," 12,947 ",0.0%, 77 , 93 ,15.2%,5.0%,,,,,,
"Macon County, IL",,,,," 104,009 ",0.1%, 538 , 755 ,13.2%,17.3%,,,,,,
"Macon County, MO",,,,," 15,117 ",0.0%, 648 , 800 ,28.0%,24.1%,,,,,,
"Macon County, TN",,,,," 24,602 ",0.0%, 406 , 524 ,3.8%,24.7%,,,,,,
"Macoupin County, IL",,,,," 44,926 ",0.0%, 690 , 735 ,11.1%,14.0%,,,,,,
"Madison County, AL",,,,," 372,909 ",0.1%, 195 , 196 ,14.5%,13.6%,,,,,,
"Madison County, AR",,,,," 16,576 ",0.0%, 356 , 247 ,11.3%,6.4%,,,,,,
"Madison County, GA",,,,," 29,880 ",0.0%, 207 , 131 ,18.0%,14.1%,,,,,,
"Madison County, IA",,,,," 16,338 ",0.0%, 331 , 600 ,10.0%,16.7%,,,,,,
"Madison County, ID",,,,," 39,907 ",0.0%, 900 , 972 ,27.6%,31.5%,,,,,,
"Madison County, IL",,,,," 262,966 ",0.1%, 592 , 713 ,13.0%,16.2%,,,,,,
"Madison County, IN",,,,," 129,569 ",0.1%, 655 , 539 ,16.7%,16.2%,,,,,,
"Madison County, KY",,,,," 92,987 ",0.1%, 579 , 436 ,10.7%,11.7%,,,,,,
"Madison County, MO",,,,," 12,088 ",0.0%, 893 , 720 ,28.8%,24.8%,,,,,,
"Madison County, MS",,,,," 106,272 ",0.0%, 213 , 241 ,8.4%,11.2%,,,,,,
"Madison County, MT",,,,," 8,600 ",0.0%, 233 , 849 ,11.2%,29.6%,,,,,,
"Madison County, NC",,,,," 21,755 ",0.0%, 349 , 234 ,10.6%,11.7%,,,,,,
"Madison County, NE",,,,," 35,099 ",0.0%, 576 ," 1,647 ",25.5%,38.7%,,,,,,
"Madison County, OH",,,,," 44,731 ",0.0%, 621 , 338 ,10.9%,8.1%,,,,,,
"Madison County, TN",,,,," 97,984 ",0.0%, 383 , 499 ,11.8%,13.5%,,,,,,
"Madison County, TX",,,,," 14,284 ",0.0%, 126 , 196 ,13.3%,26.8%,,,,,,
"Madison Parish, LA",,,,," 10,951 ",0.0%, 320 , 530 ,11.3%,18.7%,,,,,,
"Magoffin County, KY",,,,," 12,161 ",0.0%, 724 , 600 ,30.9%,15.5%,,,,,,
"Mahaska County, IA",,,,," 22,095 ",0.0%, 462 , 530 ,18.5%,21.0%,,,,,,
"Mahnomen County, MN",,,,," 5,527 ",0.0%," 1,067 ", 887 ,16.8%,14.9%,,,,,,
"Mahoning County, OH",,,,," 228,683 ",0.1%, 647 , 436 ,11.8%,9.3%,,,,,,
"Major County, OK",,,,," 7,629 ",0.0%," 1,717 ", 826 ,49.4%,40.4%,,,,,,
"Malheur County, OR",,,,," 30,571 ",0.0%, 311 , 370 ,11.9%,14.8%,,,,,,
"Manassas City, VA",,,,," 41,085 ",0.0%, 239 , 134 ,7.8%,15.6%,,,,,,
"Manassas Park City, VA",,,,," 17,478 ",0.0%, 195 , 57 ,11.8%,46.2%,,,,,,
"Manati, PR",,,,," 44,113 ",0.0%, 177 , 150 ,28.0%,0.0%,,,,,,
"Manitowoc County, WI",,,,," 78,981 ",0.0%, 458 , 727 ,17.7%,19.5%,,,,,,
"Marathon County, WI",,,,," 135,692 ",0.1%, 628 , 958 ,16.3%,21.1%,,,,,,
"Marengo County, AL",,,,," 18,863 ",0.0%, 239 , 159 ,12.7%,6.2%,,,,,,
"Maricopa County, AZ",,,,," 4,485,414 ",1.4%, 357 , 232 ,10.8%,9.9%,,,,,,
"Maries County, MO",,,,," 8,697 ",0.0%, 333 , 471 ,17.1%,18.8%,,,,,,
"Marinette County, WI",,,,," 40,350 ",0.0%, 560 , 830 ,16.7%,18.6%,,,,,,
"Marion County, AL",,,,," 29,709 ",0.0%, 205 , 118 ,15.0%,15.2%,,,,,,
"Marion County, AR",,,,," 16,694 ",0.0%, 335 , 575 ,13.0%,17.8%,,,,,,
"Marion County, GA",,,,," 8,359 ",0.0%, 72 , 36 ,13.2%,2.6%,,,,,,
"Marion County, IA",,,,," 33,253 ",0.0%, 490 , 791 ,18.3%,25.5%,,,,,,
"Marion County, IL",,,,," 37,205 ",0.0%, 761 ," 1,070 ",10.3%,15.1%,,,,,,
"Marion County, IN",,,,," 964,582 ",0.4%, 512 , 572 ,13.9%,16.1%,,,,,,
"Marion County, KS",,,,," 11,884 ",0.0%, 202 , 404 ,20.3%,25.3%,,,,,,
"Marion County, KY",,,,," 19,273 ",0.0%, 436 , 700 ,19.0%,16.5%,,,,,,
"Marion County, MO",,,,," 28,530 ",0.0%, 571 , 803 ,17.1%,29.5%,,,,,,
"Marion County, OH",,,,," 65,093 ",0.0%, 731 , 553 ,6.6%,13.8%,,,,,,
"Marion County, OR",,,,," 347,818 ",0.1%, 269 , 226 ,11.9%,9.7%,,,,,,
"Marion County, TN",,,,," 28,907 ",0.0%, 263 , 239 ,11.0%,8.4%,,,,,,
"Marion County, TX",,,,," 9,854 ",0.0%, 20 , 20 ,8.3%,10.1%,,,,,,
"Marquette County, MI",,,,," 66,699 ",0.0%, 451 , 691 ,10.2%,11.3%,,,,,,
"Marquette County, WI",,,,," 15,574 ",0.0%, 244 , 700 ,10.3%,17.8%,,,,,,
"Marshall County, AL",,,,," 96,774 ",0.0%, 372 , 323 ,26.7%,19.3%,,,,,,
"Marshall County, IA",,,,," 39,369 ",0.0%, 632 , 904 ,29.7%,34.0%,,,,,,
"Marshall County, IL",,,,," 11,438 ",0.0%, 629 , 612 ,14.4%,16.4%,,,,,,
"Marshall County, IN",,,,," 46,258 ",0.0%, 763 ," 1,029 ",15.4%,16.7%,,,,,,
"Marshall County, KS",,,,," 9,707 ",0.0%," 2,050 "," 1,040 ",38.3%,32.9%,,,,,,
"Marshall County, KY",,,,," 31,100 ",0.0%, 273 , 486 ,11.9%,19.2%,,,,,,
"Marshall County, MN",,,,," 9,336 ",0.0%, 932 , 793 ,16.2%,24.2%,,,,,,
"Marshall County, MS",,,,," 35,294 ",0.0%, 326 , 604 ,15.1%,22.2%,,,,,,
"Marshall County, OK",,,,," 16,931 ",0.0%, 886 , 933 ,11.2%,19.2%,,,,,,
"Marshall County, SD",,,,," 4,935 ",0.0%, 669 , 729 ,21.6%,8.7%,,,,,,
"Marshall County, TN",,,,," 34,375 ",0.0%, 419 , 445 ,15.9%,20.9%,,,,,,
"Marshall County, WV",,,,," 30,531 ",0.0%, 550 , 753 ,12.8%,14.5%,,,,,,
"Martin County, IN",,,,," 10,255 ",0.0%, 410 , 419 ,15.1%,15.7%,,,,,,
"Martin County, KY",,,,," 11,195 ",0.0%, 482 , 447 ,16.3%,12.1%,,,,,,
"Martin County, MN",,,,," 19,683 ",0.0%, 899 , 660 ,16.3%,11.8%,,,,,,
"Martin County, TX",,,,," 5,771 ",0.0%," 1,109 ", 606 ,23.1%,31.2%,,,,,,
"Martinsville City, VA",,,,," 12,554 ",0.0%, 558 , 335 ,20.5%,25.9%,,,,,,
"Mason County, IL",,,,," 13,359 ",0.0%, 749 , 696 ,19.9%,14.3%,,,,,,
"Mason County, KY",,,,," 17,070 ",0.0%, 439 , 246 ,16.2%,11.0%,,,,,,
"Mason County, TX",,,,," 4,274 ",0.0%, -   ," 1,006 ",4.9%,9.8%,,,,,,
"Mason County, WA",,,,," 66,768 ",0.0%, 138 , 85 ,10.6%,7.8%,,,,,,
"Mason County, WV",,,,," 26,516 ",0.0%, 460 , 226 ,9.3%,5.5%,,,,,,
"Massac County, IL",,,,," 13,772 ",0.0%," 1,038 ", 762 ,24.0%,13.9%,,,,,,
"Matagorda County, TX",,,,," 36,643 ",0.0%, 177 , 79 ,17.0%,13.3%,,,,,,
"Matanuska-Susitna Borough, AK",,,,," 108,317 ",0.1%, 782 , 276 ,10.6%,12.5%,,,,,,
